Player,Rk,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Emiliano Martínez,328,arARG,GK,Aston Villa,32-249,1992,33.0,4,0,0,1,5,0,0,0,3,0,0,0,29,8,1,88.9,Matches
Emmanuel Agbadou,6,ciCIV,DF,Wolves,27-326,1997,12.7,2,0,0,5,4,1,1,9,18,0,0,0,66,22,16,57.9,Matches
Enes Ünal,524,trTUR,"FW,MF",Bournemouth,27-364,1997,3.8,2,0,0,6,9,1,4,0,0,0,0,0,16,24,22,52.2,Matches
Enzo Fernández,181,arARG,MF,Chelsea,24-112,2001,29.7,7,0,0,47,48,1,105,13,32,0,0,0,147,14,28,33.3,Matches
Eric da Silva Moreira,468,deGER,"MF,DF",Nott'ham Forest,19-006,2006,0.3,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,N/a,Matches
Erling Haaland,223,noNOR,FW,Manchester City,24-292,2000,27.6,2,0,0,22,12,4,3,5,5,0,0,0,29,49,45,52.1,Matches
Ethan Nwaneri,382,engENG,"FW,MF",Arsenal,18-049,2007,9.1,1,0,0,8,5,6,51,2,7,0,0,0,33,4,7,36.4,Matches
Ethan Pinnock,413,jmJAM,DF,Brentford,31-345,1993,21.3,2,0,0,8,4,0,9,24,19,0,1,1,50,63,43,59.4,Matches
Evan Ferguson,177,ieIRL,FW,West Ham,20-202,2004,1.7,0,0,0,1,2,0,0,1,1,0,0,0,8,5,10,33.3,Matches
Evanilson,169,brBRA,FW,Bournemouth,25-215,1999,22.9,1,1,0,33,45,17,0,0,10,5,0,0,59,39,58,40.2,Matches
Ezri Konsa,287,engENG,DF,Aston Villa,27-198,1997,29.6,0,0,0,6,42,0,5,21,17,0,0,0,89,31,22,58.5,Matches
Fabian Schär,456,chSUI,DF,Newcastle Utd,33-140,1991,29.6,7,1,0,32,12,4,10,41,21,0,0,0,125,46,61,43.0,Matches
Fabio Carvalho,85,ptPOR,"FW,MF",Brentford,22-252,2002,5.1,1,0,0,5,10,1,10,3,9,0,0,0,30,2,6,25.0,Matches
Facundo Buonanotte,74,arARG,"FW,MF",Leicester City,20-137,2004,16.4,7,0,0,35,33,3,41,11,32,0,0,0,77,17,35,32.7,Matches
Federico Chiesa,95,itITA,FW,Liverpool,27-196,1997,0.5,0,0,0,2,1,0,2,0,0,0,0,0,4,0,1,0.0,Matches
Ferdi Kadioglu,271,trTUR,"DF,MF",Brighton,25-214,1999,4.3,1,0,0,5,3,1,9,8,6,0,0,0,14,3,1,75.0,Matches
Filip Jørgensen,270,dkDEN,GK,Chelsea,23-023,2002,6.0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,N/a,Matches
Flynn Downes,148,engENG,MF,Southampton,26-109,1999,20.9,10,0,0,46,35,0,3,30,24,0,0,0,75,14,13,51.9,Matches
Frank Onyeka,395,ngNGA,MF,Brentford,27-128,1998,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,N/a,Matches
