Player,Rk,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2,Matches
Lewis Hall,224,engENG,DF,Newcastle Utd,20-243,2004,27,24,"2,189",24.3,0,4,4,0,0,0,3,0,0.4,0.4,4.3,4.7,41,123,80,0.00,0.16,0.16,0.00,0.16,0.02,0.18,0.19,0.02,0.19,Matches
Lewis Miley,347,engENG,MF,Newcastle Utd,19-008,2006,12,1,249,2.8,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.6,2,14,7,0.36,0.00,0.36,0.36,0.36,0.20,0.01,0.21,0.20,0.21,Matches
Lewis Orford,396,engENG,MF,West Ham,19-080,2006,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
Liam Delap,127,engENG,FW,Ipswich Town,22-090,2003,34,31,"2,491",27.7,12,2,14,10,2,2,10,0,9.3,7.7,1.9,9.6,60,30,105,0.43,0.07,0.51,0.36,0.43,0.34,0.07,0.40,0.28,0.35,Matches
Lisandro Martínez,329,arARG,DF,Manchester Utd,27-111,1998,20,20,"1,751",19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.10,0.05,0.15,0.10,0.15,0.07,0.06,0.13,0.07,0.13,Matches
Lloyd Kelly,277,engENG,DF,Newcastle Utd,26-215,1998,10,4,303,3.4,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.9,0,9,5,0.00,0.30,0.30,0.00,0.30,0.12,0.14,0.26,0.12,0.26,Matches
Lucas Bergvall,55,seSWE,MF,Tottenham,19-096,2006,27,11,"1,212",13.5,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,33,49,31,0.00,0.07,0.07,0.00,0.07,0.05,0.04,0.09,0.05,0.09,Matches
Lucas Digne,135,frFRA,DF,Aston Villa,31-293,1993,31,27,"2,261",25.1,0,4,4,0,0,0,4,0,0.8,0.8,4.4,5.1,23,55,140,0.00,0.16,0.16,0.00,0.16,0.03,0.17,0.20,0.03,0.20,Matches
Lucas Paquetá,404,brBRA,"MF,FW",West Ham,27-255,1997,31,27,"2,336",26.0,4,0,4,2,2,2,9,0,5.2,3.6,3.1,6.7,22,145,82,0.15,0.00,0.15,0.08,0.08,0.20,0.12,0.32,0.14,0.26,Matches
Luis Díaz,133,coCOL,FW,Liverpool,28-116,1997,33,26,"2,225",24.7,12,5,17,12,0,0,2,0,10.0,10.0,4.9,14.9,103,103,269,0.49,0.20,0.69,0.49,0.69,0.40,0.20,0.60,0.40,0.60,Matches
Luis Guilherme,217,brBRA,"MF,FW",West Ham,19-089,2006,11,1,138,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,3,3,13,0.00,0.00,0.00,0.00,0.00,0.19,0.05,0.24,0.19,0.24,Matches
Luis Sinisterra,470,coCOL,"FW,MF",Bournemouth,25-326,1999,12,1,236,2.6,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,19,6,38,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.00,0.46,1.00,Matches
Luke Shaw,464,engENG,DF,Manchester Utd,29-301,1995,5,2,218,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,6,18,7,0.00,0.00,0.00,0.00,0.00,0.01,0.29,0.31,0.01,0.31,Matches
Luke Thomas,503,engENG,DF,Leicester City,23-333,2001,11,10,873,9.7,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.6,3,30,13,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.06,0.04,0.06,Matches
Luke Woolfenden,560,engENG,DF,Ipswich Town,26-200,1998,15,12,"1,187",13.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,7,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mads Hermansen,235,dkDEN,GK,Leicester City,24-302,2000,27,27,"2,385",26.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mads Roerslev,438,dkDEN,DF,Brentford,25-319,1999,19,11,"1,101",12.2,0,2,2,0,0,0,2,0,0.2,0.2,3.0,3.2,17,51,54,0.00,0.16,0.16,0.00,0.16,0.02,0.24,0.26,0.02,0.26,Matches
Malo Gusto,221,frFRA,DF,Chelsea,21-355,2003,29,19,"1,832",20.4,0,1,1,0,0,0,4,0,1.7,1.7,1.3,3.0,49,119,84,0.00,0.05,0.05,0.00,0.05,0.08,0.06,0.15,0.08,0.15,Matches
Manuel Akanji,11,chSUI,DF,Manchester City,29-294,1995,23,20,"1,744",19.4,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,138,6,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Manuel Ugarte Ribeiro,522,uyURU,MF,Manchester Utd,24-028,2001,27,21,"1,706",19.0,1,2,3,1,0,0,10,0,1.0,1.0,1.1,2.1,16,59,20,0.05,0.11,0.16,0.05,0.16,0.05,0.06,0.11,0.05,0.11,Matches
Marc Cucurella,113,esESP,DF,Chelsea,26-291,1998,33,30,"2,718",30.2,4,1,5,4,0,0,10,1,2.6,2.6,2.1,4.7,31,107,108,0.13,0.03,0.17,0.13,0.17,0.09,0.07,0.16,0.09,0.16,Matches
Marc Guiu,219,esESP,FW,Chelsea,19-125,2006,3,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
Marc Guéhi,216,engENG,DF,Crystal Palace,24-300,2000,33,33,"2,969",33.0,3,2,5,3,0,0,9,1,2.0,2.0,1.5,3.5,22,128,10,0.09,0.06,0.15,0.09,0.15,0.06,0.05,0.11,0.06,0.11,Matches
Marco Asensio,36,esESP,"MF,FW",Aston Villa,29-108,1996,10,6,540,6.0,3,1,4,3,0,2,1,0,4.2,2.6,0.8,3.4,16,34,26,0.50,0.17,0.67,0.50,0.67,0.70,0.14,0.84,0.43,0.57,Matches
Marcos Senesi,462,arARG,DF,Bournemouth,27-364,1997,15,12,"1,014",11.3,0,0,0,0,0,0,5,0,0.8,0.8,0.2,1.0,12,51,5,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Marcus Harness,226,engENG,MF,Ipswich Town,29-074,1996,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marcus Rashford,422,engENG,"FW,MF",Manchester Utd,27-190,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,Matches
Marcus Tavernier,497,engENG,"FW,MF",Bournemouth,26-048,1999,26,17,"1,670",18.6,3,5,8,3,0,0,5,0,5.3,5.3,2.8,8.1,41,102,106,0.16,0.27,0.43,0.16,0.43,0.29,0.15,0.44,0.29,0.44,Matches
Mario Lemina,298,gaGAB,"MF,DF",Wolves,31-250,1993,17,15,"1,364",15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.20,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,Matches
Mark Flekken,182,nlNED,GK,Brentford,31-330,1993,34,34,"3,005",33.4,0,2,2,0,0,0,1,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.06,0.06,0.00,0.06,0.00,0.02,0.02,0.00,0.02,Matches
Mark Travers,515,ieIRL,GK,Bournemouth,25-356,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marshall Munetsi,363,zwZIM,"MF,FW",Wolves,28-321,1996,11,10,878,9.8,1,1,2,1,0,0,0,0,3.0,3.0,1.5,4.5,7,8,26,0.10,0.10,0.21,0.10,0.21,0.31,0.15,0.46,0.31,0.46,Matches
Martial Godo,200,engENG,FW,Fulham,22-056,2003,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Martin Dúbravka,151,skSVK,GK,Newcastle Utd,36-114,1989,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Martin Ødegaard,568,noNOR,MF,Arsenal,26-143,1998,27,24,"2,130",23.7,2,7,9,1,1,1,4,0,4.6,3.8,5.0,8.8,82,240,144,0.08,0.30,0.38,0.04,0.34,0.19,0.21,0.41,0.16,0.37,Matches
Mason Holgate,240,engENG,"FW,DF",Everton,28-199,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mason Mount,360,engENG,"MF,FW",Manchester Utd,26-119,1999,14,5,430,4.8,1,0,1,1,0,0,3,0,2.3,2.3,0.2,2.5,11,21,23,0.21,0.00,0.21,0.21,0.21,0.48,0.04,0.52,0.48,0.52,Matches
Massimo Luongo,312,auAUS,MF,Ipswich Town,32-226,1992,9,2,196,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mateo Kovačić,288,hrCRO,MF,Manchester City,31-003,1994,29,23,"2,049",22.8,6,1,7,6,0,0,5,0,1.7,1.7,3.6,5.3,52,149,15,0.26,0.04,0.31,0.26,0.31,0.08,0.16,0.23,0.08,0.23,Matches
Mateus Fernandes,180,ptPOR,MF,Southampton,20-303,2004,33,31,"2,640",29.3,2,3,5,2,0,0,8,0,3.8,3.8,2.6,6.4,73,131,102,0.07,0.10,0.17,0.07,0.17,0.13,0.09,0.22,0.13,0.22,Matches
Matheus Cunha,115,brBRA,"MF,FW",Wolves,25-347,1999,30,27,"2,425",26.9,15,6,21,15,0,0,3,0,7.9,7.9,7.3,15.2,104,131,147,0.56,0.22,0.78,0.56,0.78,0.29,0.27,0.57,0.29,0.57,Matches
Matheus França,187,brBRA,"FW,MF",Crystal Palace,21-038,2004,2,0,26,0.3,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,2,2,3.46,0.00,3.46,3.46,3.46,0.43,0.00,0.43,0.43,0.43,Matches
Matheus Nunes,380,ptPOR,"DF,MF",Manchester City,26-255,1998,24,17,"1,494",16.6,1,5,6,1,0,0,4,0,0.9,0.9,4.2,5.1,59,69,156,0.06,0.30,0.36,0.06,0.36,0.05,0.25,0.31,0.05,0.31,Matches
Mathias Jensen,257,dkDEN,MF,Brentford,29-128,1996,21,8,816,9.1,0,2,2,0,0,0,2,0,0.2,0.2,1.6,1.8,6,56,26,0.00,0.22,0.22,0.00,0.22,0.03,0.18,0.20,0.03,0.20,Matches
Mathis Amougou,22,frFRA,MF,Chelsea,19-111,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mathys Tel,500,frFRA,FW,Tottenham,20-012,2005,10,8,649,7.2,2,1,3,1,1,1,1,0,2.3,1.5,1.4,2.9,18,16,57,0.28,0.14,0.42,0.14,0.28,0.32,0.19,0.51,0.21,0.40,Matches
Mats Wieffer,549,nlNED,"MF,DF",Brighton,25-174,1999,22,7,745,8.3,1,3,4,1,0,0,5,0,0.7,0.7,1.5,2.2,13,52,18,0.12,0.36,0.48,0.12,0.48,0.09,0.18,0.27,0.09,0.27,Matches
Matt Doherty,141,ieIRL,DF,Wolves,33-113,1992,28,23,"1,965",21.8,2,1,3,2,0,0,6,0,1.0,1.0,1.5,2.5,29,76,40,0.09,0.05,0.14,0.09,0.14,0.05,0.07,0.12,0.05,0.12,Matches
Matt O'Riley,385,dkDEN,MF,Brighton,24-169,2000,18,10,847,9.4,1,1,2,1,0,0,1,0,2.0,2.0,1.7,3.6,19,34,47,0.11,0.11,0.21,0.11,0.21,0.21,0.18,0.39,0.21,0.39,Matches
Matt Targett,495,engENG,DF,Newcastle Utd,29-233,1995,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Matthijs de Ligt,304,nlNED,DF,Manchester Utd,25-270,1999,29,25,"2,123",23.6,2,0,2,2,0,0,3,0,2.5,2.5,0.3,2.8,7,55,6,0.08,0.00,0.08,0.08,0.08,0.10,0.01,0.12,0.10,0.12,Matches
Matty Cash,88,plPOL,DF,Aston Villa,27-275,1997,24,21,"1,800",20.0,1,1,2,1,0,0,6,0,0.3,0.3,1.1,1.4,46,39,75,0.05,0.05,0.10,0.05,0.10,0.02,0.05,0.07,0.02,0.07,Matches
Matz Sels,459,beBEL,GK,Nott'ham Forest,33-072,1992,35,35,"3,150",35.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Max Aarons,1,engENG,DF,Bournemouth,25-125,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Max Kilman,281,engENG,DF,West Ham,27-351,1997,35,35,"3,078",34.2,0,1,1,0,0,0,4,0,1.4,1.4,1.2,2.6,29,107,6,0.00,0.03,0.03,0.00,0.03,0.04,0.03,0.08,0.04,0.08,Matches
Maxence Lacroix,293,frFRA,DF,Crystal Palace,25-033,2000,32,32,"2,846",31.6,1,1,2,1,0,0,5,0,3.1,3.1,0.8,3.9,8,61,7,0.03,0.03,0.06,0.03,0.06,0.10,0.02,0.12,0.10,0.12,Matches
Maxwel Cornet,109,ciCIV,FW,Southampton,28-224,1996,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,0,5,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches
Michael Golding,201,engENG,MF,Leicester City,18-351,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Michael Kayode,274,itITA,DF,Brentford,20-303,2004,9,3,291,3.2,0,1,1,0,0,0,1,0,0.1,0.1,1.0,1.1,8,5,16,0.00,0.31,0.31,0.00,0.31,0.02,0.30,0.33,0.02,0.33,Matches
Michael Keane,275,engENG,DF,Everton,32-118,1993,11,9,852,9.5,2,0,2,2,0,0,5,0,0.4,0.4,0.1,0.5,1,12,3,0.21,0.00,0.21,0.21,0.21,0.05,0.01,0.06,0.05,0.06,Matches
Michail Antonio,27,jmJAM,FW,West Ham,35-042,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,Matches
Micky van de Ven,529,nlNED,DF,Tottenham,24-020,2001,12,11,950,10.6,0,2,2,0,0,0,4,0,0.6,0.6,1.2,1.7,8,51,1,0.00,0.19,0.19,0.00,0.19,0.05,0.11,0.16,0.05,0.16,Matches
Miguel Almirón,17,pyPAR,FW,Newcastle Utd,31-088,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0.00,0.00,0.00,0.00,0.00,0.30,0.15,0.45,0.30,0.45,Matches
Mikel Merino,344,esESP,"MF,FW",Arsenal,28-321,1996,26,15,"1,418",15.8,6,2,8,6,0,0,2,0,4.4,4.4,1.9,6.3,9,62,88,0.38,0.13,0.51,0.38,0.51,0.28,0.12,0.40,0.28,0.40,Matches
Mikey Moore,355,engENG,FW,Tottenham,17-271,2007,8,2,208,2.3,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,9,7,31,0.00,0.43,0.43,0.00,0.43,0.09,0.15,0.23,0.09,0.23,Matches
Mikkel Damsgaard,118,dkDEN,"MF,FW",Brentford,24-310,2000,35,31,"2,658",29.5,2,10,12,2,0,0,2,0,2.6,2.6,7.8,10.4,64,213,121,0.07,0.34,0.41,0.07,0.41,0.09,0.26,0.35,0.09,0.35,Matches
Milos Kerkez,278,huHUN,DF,Bournemouth,21-183,2003,35,35,"3,077",34.2,2,5,7,2,0,0,4,0,0.5,0.5,3.7,4.2,96,144,169,0.06,0.15,0.20,0.06,0.20,0.02,0.11,0.12,0.01,0.12,Matches
Mohamed Salah,444,egEGY,FW,Liverpool,32-328,1992,35,35,"3,101",34.5,28,18,46,19,9,9,1,0,24.0,17.0,13.2,30.1,143,133,440,0.81,0.52,1.34,0.55,1.07,0.70,0.38,1.08,0.49,0.87,Matches
Mohammed Kudus,291,ghGHA,"FW,MF",West Ham,24-280,2000,29,29,"2,421",26.9,4,2,6,4,0,0,2,1,6.6,6.6,2.5,9.0,93,76,201,0.15,0.07,0.22,0.15,0.22,0.24,0.09,0.34,0.24,0.34,Matches
Moisés Caicedo,79,ecECU,"MF,DF",Chelsea,23-188,2001,35,35,"3,081",34.2,1,2,3,1,0,0,10,0,0.8,0.8,3.0,3.7,38,197,33,0.03,0.06,0.09,0.03,0.09,0.02,0.09,0.11,0.02,0.11,Matches
Morato,356,brBRA,DF,Nott'ham Forest,23-313,2001,24,5,809,9.0,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,0,14,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Morgan Gibbs-White,197,engENG,MF,Nott'ham Forest,25-102,2000,31,31,"2,541",28.2,5,7,12,5,0,0,11,1,4.7,4.7,4.5,9.3,64,153,118,0.18,0.25,0.43,0.18,0.43,0.17,0.16,0.33,0.17,0.33,Matches
Morgan Rogers,439,engENG,"FW,MF",Aston Villa,22-287,2002,34,34,"2,853",31.7,8,8,16,8,0,0,9,0,6.2,6.2,7.4,13.6,108,117,177,0.25,0.25,0.50,0.25,0.50,0.20,0.23,0.43,0.20,0.43,Matches
Murillo,367,brBRA,DF,Nott'ham Forest,22-309,2002,34,34,"3,008",33.4,2,0,2,2,0,0,5,0,1.4,1.4,1.1,2.5,20,103,5,0.06,0.00,0.06,0.06,0.06,0.04,0.03,0.07,0.04,0.07,Matches
Mykhailo Mudryk,362,uaUKR,FW,Chelsea,24-124,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,0.00,0.00,0.00,0.00,0.00,0.15,0.58,0.73,0.15,0.73,Matches
Myles Lewis-Skelly,303,engENG,DF,Arsenal,18-225,2006,20,13,"1,168",13.0,1,0,1,1,0,0,2,2,0.1,0.1,0.4,0.5,32,62,33,0.08,0.00,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,Matches
Nasser Djiga,140,bfBFA,"DF,FW",Wolves,22-175,2002,4,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nathan Aké,12,nlNED,DF,Manchester City,30-080,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Nathan Broadhead,69,wlsWAL,"MF,FW",Ipswich Town,27-034,1998,16,6,605,6.7,1,0,1,1,0,0,1,0,1.5,1.5,0.6,2.1,17,12,27,0.15,0.00,0.15,0.15,0.15,0.22,0.10,0.32,0.22,0.32,Matches
Nathan Butler-Oyedeji,78,engENG,FW,Arsenal,22-125,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.94,0.94,0.94,Matches
Nathan Collins,105,ieIRL,DF,Brentford,24-009,2001,35,35,"3,150",35.0,2,3,5,2,0,0,5,0,2.5,2.5,1.8,4.3,28,117,18,0.06,0.09,0.14,0.06,0.14,0.07,0.05,0.12,0.07,0.12,Matches
Nathan Patterson,406,sctSCO,DF,Everton,23-205,2001,10,3,347,3.9,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,6,13,18,0.00,0.26,0.26,0.00,0.26,0.02,0.11,0.13,0.02,0.13,Matches
Nathan Wood-Gordon,559,engENG,DF,Southampton,22-343,2002,9,7,624,6.9,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,2,17,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches
Nathaniel Clyne,102,engENG,"DF,MF",Crystal Palace,34-034,1991,13,5,483,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,6,7,8,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
Neco Williams,550,wlsWAL,DF,Nott'ham Forest,24-026,2001,32,25,"2,324",25.8,1,3,4,1,0,0,7,0,2.3,2.3,1.5,3.8,60,82,86,0.04,0.12,0.15,0.04,0.15,0.09,0.06,0.15,0.09,0.15,Matches
Neto,375,brBRA,GK,Bournemouth,35-294,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nick Pope,416,engENG,GK,Newcastle Utd,33-020,1992,25,25,"2,250",25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Niclas Füllkrug,190,deGER,FW,West Ham,32-089,1993,15,5,668,7.4,3,2,5,3,0,0,2,0,2.0,2.0,1.9,3.9,6,11,25,0.40,0.27,0.67,0.40,0.67,0.27,0.25,0.52,0.27,0.52,Matches
Nico O’Reilly,400,engENG,DF,Manchester City,20-049,2005,8,6,513,5.7,2,0,2,2,0,0,0,0,1.3,1.3,0.4,1.6,16,17,25,0.35,0.00,0.35,0.35,0.35,0.23,0.06,0.29,0.23,0.29,Matches
Nicolas Jackson,252,snSEN,FW,Chelsea,23-323,2001,29,27,"2,185",24.3,10,5,15,10,0,0,7,0,12.3,12.3,4.3,16.6,46,37,127,0.41,0.21,0.62,0.41,0.62,0.51,0.18,0.68,0.51,0.68,Matches
Nicolás Domínguez,143,arARG,"MF,FW",Nott'ham Forest,26-315,1998,31,20,"1,734",19.3,0,1,1,0,0,0,9,0,1.4,1.4,1.3,2.7,13,68,27,0.00,0.05,0.05,0.00,0.05,0.07,0.07,0.14,0.07,0.14,Matches
Nicolás González,207,esESP,MF,Manchester City,23-126,2002,9,8,648,7.2,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.3,5,46,10,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
Nikola Milenković,346,rsSRB,DF,Nott'ham Forest,27-209,1997,34,34,"3,060",34.0,4,2,6,4,0,0,4,0,3.6,3.6,1.0,4.6,3,49,6,0.12,0.06,0.18,0.12,0.18,0.10,0.03,0.13,0.10,0.13,Matches
Noni Madueke,316,engENG,FW,Chelsea,23-060,2002,29,24,"1,813",20.1,7,3,10,7,0,0,3,0,9.1,9.1,4.0,13.1,142,66,212,0.35,0.15,0.50,0.35,0.50,0.45,0.20,0.65,0.45,0.65,Matches
Noussair Mazraoui,334,maMAR,DF,Manchester Utd,27-176,1997,34,31,"2,639",29.3,0,1,1,0,0,0,2,0,0.7,0.7,1.3,2.0,37,102,51,0.00,0.03,0.03,0.00,0.03,0.02,0.05,0.07,0.02,0.07,Matches
Nélson Semedo,460,ptPOR,DF,Wolves,31-174,1993,31,30,"2,661",29.6,0,4,4,0,0,0,7,0,0.8,0.8,2.7,3.5,61,70,109,0.00,0.14,0.14,0.00,0.14,0.03,0.09,0.12,0.03,0.12,Matches
Odsonne Édouard,156,frFRA,"MF,FW",Crystal Palace,27-113,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34,Matches
Ola Aina,8,ngNGA,DF,Nott'ham Forest,28-213,1996,32,32,"2,733",30.4,2,1,3,2,0,0,3,0,0.6,0.6,1.1,1.8,59,97,56,0.07,0.03,0.10,0.07,0.10,0.02,0.04,0.06,0.02,0.06,Matches
Oleksandr Zinchenko,566,uaUKR,"DF,MF",Arsenal,28-145,1996,13,4,455,5.1,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,10,37,12,0.00,0.20,0.20,0.00,0.20,0.05,0.03,0.08,0.05,0.08,Matches
Oliver Scarles,453,engENG,DF,West Ham,19-148,2005,14,6,594,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,11,21,39,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Oliver Skipp,471,engENG,MF,Leicester City,24-235,2000,21,8,996,11.1,0,0,0,0,0,0,8,0,0.2,0.2,0.3,0.4,16,31,19,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Matches
Ollie Watkins,542,engENG,FW,Aston Villa,29-130,1995,35,28,"2,333",25.9,15,7,22,13,2,2,2,0,14.7,13.2,3.0,16.2,52,29,148,0.58,0.27,0.85,0.50,0.77,0.57,0.12,0.69,0.51,0.62,Matches
Omar Marmoush,326,egEGY,"FW,MF",Manchester City,26-091,1999,13,12,998,11.1,6,0,6,6,0,0,0,0,4.8,4.8,1.7,6.5,21,29,68,0.54,0.00,0.54,0.54,0.54,0.43,0.15,0.59,0.43,0.59,Matches
Omari Hutchinson,244,engENG,"MF,FW",Ipswich Town,21-191,2003,28,27,"2,313",25.7,3,2,5,3,0,0,5,0,2.4,2.4,2.7,5.1,74,71,135,0.12,0.08,0.19,0.12,0.19,0.09,0.11,0.20,0.09,0.20,Matches
Orel Mangala,323,beBEL,MF,Everton,27-052,1998,19,14,"1,261",14.0,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19,0.07,0.00,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,Matches
Oscar Bobb,60,noNOR,FW,Manchester City,21-301,2003,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.44,0.00,0.44,Matches
Pablo Sarabia,449,esESP,"MF,FW",Wolves,32-363,1992,21,6,716,8.0,3,2,5,3,0,0,3,0,2.9,2.9,1.6,4.5,12,51,52,0.38,0.25,0.63,0.38,0.63,0.36,0.20,0.56,0.36,0.56,Matches
Pape Matar Sarr,330,snSEN,MF,Tottenham,22-237,2002,33,19,"1,726",19.2,3,2,5,3,0,0,6,0,3.3,3.3,1.6,4.9,32,85,50,0.16,0.10,0.26,0.16,0.26,0.17,0.08,0.26,0.17,0.26,Matches
