Player,Rk,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2,Matches
Djed Spence,481,engENG,DF,Tottenham,24-273,2000,22,17,"1,604",17.8,1,2,3,1,0,0,4,1,0.6,0.6,1.8,2.3,56,100,70,0.06,0.11,0.17,0.06,0.17,0.03,0.10,0.13,0.03,0.13,Matches
Dominic Calvert-Lewin,83,engENG,FW,Everton,28-054,1997,23,19,"1,588",17.6,3,1,4,3,0,0,2,0,6.2,6.2,0.6,6.8,22,19,107,0.17,0.06,0.23,0.17,0.23,0.35,0.04,0.38,0.35,0.38,Matches
Dominic Solanke,475,engENG,FW,Tottenham,27-237,1997,25,24,"2,119",23.5,8,3,11,8,0,0,0,0,10.1,10.1,2.9,13.1,29,45,88,0.34,0.13,0.47,0.34,0.47,0.43,0.13,0.56,0.43,0.56,Matches
Dominik Szoboszlai,494,huHUN,MF,Liverpool,24-196,2000,33,26,"2,279",25.3,5,5,10,5,0,0,6,0,7.1,7.1,6.2,13.3,65,118,120,0.20,0.20,0.39,0.20,0.39,0.28,0.24,0.53,0.28,0.53,Matches
Donyell Malen,322,nlNED,FW,Aston Villa,26-120,1999,12,2,293,3.3,3,0,3,3,0,0,0,0,2.2,2.2,0.1,2.2,11,5,25,0.92,0.00,0.92,0.92,0.92,0.66,0.02,0.68,0.66,0.68,Matches
Dwight McNeil,340,engENG,"MF,FW",Everton,25-168,1999,18,14,"1,262",14.0,4,4,8,4,0,0,1,0,1.1,1.1,3.8,4.8,35,63,74,0.29,0.29,0.57,0.29,0.57,0.08,0.27,0.35,0.08,0.35,Matches
Eberechi Eze,172,engENG,"MF,FW",Crystal Palace,26-314,1998,31,29,"2,427",27.0,5,8,13,4,1,2,1,0,9.1,7.5,5.2,12.7,67,89,143,0.19,0.30,0.48,0.15,0.44,0.34,0.19,0.53,0.28,0.47,Matches
Eddie Nketiah,377,engENG,"FW,MF",Crystal Palace,25-344,1999,26,8,895,9.9,1,1,2,1,0,0,6,1,4.5,4.5,1.6,6.1,38,17,68,0.10,0.10,0.20,0.10,0.20,0.45,0.16,0.62,0.45,0.62,Matches
Ederson,154,brBRA,GK,Manchester City,31-265,1993,23,23,"2,050",22.8,0,4,4,0,0,0,3,0,0.0,0.0,1.5,1.5,0,1,0,0.00,0.18,0.18,0.00,0.18,0.00,0.07,0.07,0.00,0.07,Matches
Edmond-Paris Maghoma,318,engENG,"MF,FW",Brentford,24-001,2001,8,0,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,13,4,0.00,0.00,0.00,0.00,0.00,0.09,0.08,0.17,0.09,0.17,Matches
Edson Álvarez,18,mxMEX,MF,West Ham,27-197,1997,25,19,"1,633",18.1,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,21,75,18,0.00,0.06,0.06,0.00,0.06,0.02,0.04,0.06,0.02,0.06,Matches
Eiran Cashin,89,ieIRL,DF,Brighton,23-181,2001,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Elliot Anderson,25,engENG,MF,Nott'ham Forest,22-184,2002,34,30,"2,467",27.4,2,6,8,2,0,0,7,0,1.9,1.9,3.1,5.0,46,128,87,0.07,0.22,0.29,0.07,0.29,0.07,0.11,0.18,0.07,0.18,Matches
Emerson Palmieri,403,itITA,DF,West Ham,30-279,1994,30,26,"2,105",23.4,2,1,3,2,0,0,5,0,2.0,2.0,1.5,3.4,47,66,83,0.09,0.04,0.13,0.09,0.13,0.08,0.06,0.15,0.08,0.15,Matches
Emi Buendía,72,arARG,"MF,FW",Aston Villa,28-135,1996,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.00,0.00,0.00,0.00,0.00,0.60,0.02,0.62,0.60,0.62,Matches
Emil Krafth,290,seSWE,DF,Newcastle Utd,30-280,1994,10,2,289,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,7,1,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Emile Smith Rowe,474,engENG,MF,Fulham,24-285,2000,31,23,"1,886",21.0,6,2,8,6,0,0,2,0,4.4,4.4,1.1,5.5,50,120,115,0.29,0.10,0.38,0.29,0.38,0.21,0.05,0.26,0.21,0.26,Matches
Emiliano Martínez,328,arARG,GK,Aston Villa,32-249,1992,34,34,"2,970",33.0,0,0,0,0,0,0,4,0,0.0,0.0,0.5,0.5,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Emmanuel Agbadou,6,ciCIV,DF,Wolves,27-326,1997,13,13,"1,140",12.7,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,3,22,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Enes Ünal,524,trTUR,"FW,MF",Bournemouth,27-364,1997,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.10,0.82,0.72,0.82,Matches
Enzo Fernández,181,arARG,MF,Chelsea,24-112,2001,33,29,"2,677",29.7,6,7,13,6,0,0,7,0,6.0,6.0,6.5,12.5,57,199,116,0.20,0.24,0.44,0.20,0.44,0.20,0.22,0.42,0.20,0.42,Matches
Eric da Silva Moreira,468,deGER,"MF,DF",Nott'ham Forest,19-006,2006,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Erling Haaland,223,noNOR,FW,Manchester City,24-292,2000,28,28,"2,480",27.6,21,3,24,19,2,3,2,0,20.8,18.4,2.8,21.2,19,18,103,0.76,0.11,0.87,0.69,0.80,0.76,0.10,0.86,0.67,0.77,Matches
Ethan Nwaneri,382,engENG,"FW,MF",Arsenal,18-049,2007,25,10,821,9.1,4,2,6,4,0,0,1,0,1.1,1.1,1.0,2.2,44,30,102,0.44,0.22,0.66,0.44,0.66,0.12,0.11,0.24,0.12,0.24,Matches
Ethan Pinnock,413,jmJAM,DF,Brentford,31-345,1993,22,21,"1,913",21.3,2,0,2,2,0,0,2,0,1.1,1.1,1.2,2.3,3,41,9,0.09,0.00,0.09,0.09,0.09,0.05,0.05,0.11,0.05,0.11,Matches
Evan Ferguson,177,ieIRL,FW,West Ham,20-202,2004,8,1,156,1.7,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,1,1,7,0.00,0.00,0.00,0.00,0.00,0.32,0.17,0.50,0.32,0.50,Matches
Evanilson,169,brBRA,FW,Bournemouth,25-215,1999,28,25,"2,058",22.9,10,1,11,10,0,1,1,1,11.6,10.8,1.6,12.5,28,24,88,0.44,0.04,0.48,0.44,0.48,0.51,0.07,0.58,0.47,0.55,Matches
Ezri Konsa,287,engENG,DF,Aston Villa,27-198,1997,31,30,"2,666",29.6,1,0,1,1,0,0,0,0,0.9,0.9,0.4,1.3,17,77,11,0.03,0.00,0.03,0.03,0.03,0.03,0.01,0.04,0.03,0.04,Matches
