Player,Rk,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_2,Att_2,Cmp%_2,Cmp_3,Att_3,Cmp%_3,Cmp_4,Att_4,Cmp%_4,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
William Smallbone,472,ieIRL,MF,Southampton,25-077,2000,7.2,257,331,77.6,4218,1158,122,140,87.1,108,127,85.0,19,49,38.8,0,0.6,0.8,-0.6,9,11,3,2,25,Matches
Willian,551,brBRA,"FW,MF",Fulham,36-273,1988,2.7,163,190,85.8,2905,811,81,86,94.2,68,79,86.1,14,19,73.7,0,0.5,0.6,-0.5,5,18,10,2,38,Matches
Willy Boly,62,ciCIV,DF,Nott'ham Forest,34-095,1991,1.7,55,70,78.6,1010,477,20,22,90.9,30,32,93.8,4,15,26.7,0,0.0,0.0,0.0,0,3,0,0,2,Matches
Wilson Odobert,388,frFRA,FW,Tottenham,20-162,2004,7.0,173,224,77.2,2288,459,120,131,91.6,40,56,71.4,6,10,60.0,0,0.9,0.7,-0.9,5,8,10,3,21,Matches
Wout Faes,174,beBEL,DF,Leicester City,27-036,1998,28.3,1252,1428,87.7,23226,8100,481,513,93.8,666,701,95.0,102,190,53.7,0,0.1,0.4,-0.1,4,79,6,0,80,Matches
Woyo Coulibaly,111,frFRA,DF,Leicester City,25-354,1999,1.2,48,57,84.2,797,314,28,34,82.4,16,19,84.2,4,4,100.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches
Yankuba Minteh,350,gmGAM,"FW,MF",Brighton,20-291,2004,17.6,297,477,62.3,4794,1656,170,217,78.3,91,147,61.9,29,61,47.5,4,4.7,4.6,-0.7,25,13,29,8,40,Matches
Yasin Ayari,39,seSWE,MF,Brighton,21-215,2003,19.5,713,878,81.2,10693,2895,419,458,91.5,244,288,84.7,33,89,37.1,1,2.2,2.3,-1.2,28,52,17,4,69,Matches
Yehor Yarmoliuk,561,uaUKR,MF,Brentford,21-069,2004,13.3,535,626,85.5,9305,2200,266,308,86.4,198,224,88.4,57,68,83.8,0,0.9,0.7,-0.9,9,62,7,4,52,Matches
Yerson Mosquera,359,coCOL,DF,Wolves,24-007,2001,4.9,205,240,85.4,3996,1184,66,73,90.4,115,123,93.5,22,35,62.9,0,0.1,0.0,-0.1,2,16,1,1,7,Matches
Yoane Wissa,557,cdCOD,FW,Brentford,28-248,1996,29.4,408,536,76.1,5924,1412,252,296,85.1,116,154,75.3,26,45,57.8,3,1.8,1.6,+1.2,23,41,9,1,57,Matches
Youri Tielemans,504,beBEL,MF,Aston Villa,28-002,1997,33.3,1679,2044,82.1,28817,10189,779,868,89.7,732,838,87.4,139,257,54.1,7,6.9,5.6,+0.1,59,228,37,4,234,Matches
Youssef Chermiti,94,ptPOR,"FW,MF",Everton,20-350,2004,0.5,6,11,54.5,78,14,4,7,57.1,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Yukinari Sugawara,490,jpJPN,"DF,MF",Southampton,24-315,2000,16.3,689,862,79.9,10831,3323,366,415,88.2,272,328,82.9,35,73,47.9,1,2.2,2.5,-1.2,17,43,21,9,68,Matches
Yunus Emre Konak,162,trTUR,"FW,MF",Brentford,19-119,2006,0.5,25,34,73.5,423,84,13,16,81.3,9,11,81.8,3,4,75.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
Yves Bissouma,59,mlMLI,MF,Tottenham,28-252,1996,14.4,717,804,89.2,10833,2772,394,425,92.7,261,281,92.9,36,57,63.2,0,0.3,0.6,-0.3,6,59,10,1,72,Matches
Zain Silcott-Duberry,465,msMSR,FW,Bournemouth,19-304,2005,0.0,1,2,50.0,25,0,0,0,N/a,1,1,100.0,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Álex Moreno,357,esESP,"DF,MF",Nott'ham Forest,31-335,1993,10.6,308,428,72.0,4574,1911,184,210,87.6,95,148,64.2,14,40,35.0,1,1.3,1.1,-0.3,8,25,9,2,34,Matches
İlkay Gündoğan,220,deGER,MF,Manchester City,34-197,1990,22.8,1408,1576,89.3,21666,4054,803,851,94.4,487,530,91.9,88,140,62.9,5,2.8,3.9,+2.2,37,97,21,2,115,Matches
Łukasz Fabiański,173,plPOL,GK,West Ham,40-021,1985,11.9,304,454,67.0,8756,6129,53,53,100.0,147,148,99.3,104,252,41.3,0,0.0,0.0,0.0,0,4,0,0,0,Matches
