Player,Rk,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_2,PassDead_2,TO_2,Sh_2,Fld_2,Def_2,Matches
Nathan Butler-Oyedeji,78,engENG,FW,Arsenal,22-125,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nathan Collins,105,ieIRL,DF,Brentford,24-009,2001,35.0,30,0.86,22,2,1,3,2,0,8,0.23,4,1,0,1,2,0,Matches
Nathan Patterson,406,sctSCO,DF,Everton,23-205,2001,3.9,11,2.85,8,1,2,0,0,0,1,0.26,1,0,0,0,0,0,Matches
Nathan Wood-Gordon,559,engENG,DF,Southampton,22-343,2002,6.9,3,0.43,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nathaniel Clyne,102,engENG,"DF,MF",Crystal Palace,34-034,1991,5.4,3,0.56,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Neco Williams,550,wlsWAL,DF,Nott'ham Forest,24-026,2001,25.8,46,1.78,33,5,0,5,3,0,6,0.23,4,1,0,1,0,0,Matches
Neto,375,brBRA,GK,Bournemouth,35-294,1989,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nick Pope,416,engENG,GK,Newcastle Utd,33-020,1992,25.0,6,0.24,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Niclas Füllkrug,190,deGER,FW,West Ham,32-089,1993,7.4,19,2.56,17,0,0,2,0,0,2,0.27,1,0,0,1,0,0,Matches
Nico O’Reilly,400,engENG,DF,Manchester City,20-049,2005,5.7,12,2.11,9,1,1,0,1,0,2,0.35,2,0,0,0,0,0,Matches
Nicolas Jackson,252,snSEN,FW,Chelsea,23-323,2001,24.3,68,2.80,41,0,9,7,9,2,10,0.41,7,0,2,1,0,0,Matches
Nicolás Domínguez,143,arARG,"MF,FW",Nott'ham Forest,26-315,1998,19.3,32,1.66,24,1,0,2,3,2,0,0.00,0,0,0,0,0,0,Matches
Nicolás González,207,esESP,MF,Manchester City,23-126,2002,7.2,15,2.08,13,0,0,1,1,0,3,0.42,2,0,0,0,1,0,Matches
Nikola Milenković,346,rsSRB,DF,Nott'ham Forest,27-209,1997,34.0,18,0.53,14,0,0,3,0,1,3,0.09,3,0,0,0,0,0,Matches
Noni Madueke,316,engENG,FW,Chelsea,23-060,2002,20.1,76,3.77,54,0,10,7,4,1,8,0.40,5,0,0,1,1,1,Matches
Noussair Mazraoui,334,maMAR,DF,Manchester Utd,27-176,1997,29.3,50,1.71,40,2,1,2,3,2,1,0.03,1,0,0,0,0,0,Matches
Nélson Semedo,460,ptPOR,DF,Wolves,31-174,1993,29.6,52,1.76,37,1,7,1,3,3,6,0.20,6,0,0,0,0,0,Matches
Odsonne Édouard,156,frFRA,"MF,FW",Crystal Palace,27-113,1998,1.3,1,0.78,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ola Aina,8,ngNGA,DF,Nott'ham Forest,28-213,1996,30.4,58,1.91,46,5,3,1,2,1,3,0.10,2,0,0,0,0,1,Matches
Oleksandr Zinchenko,566,uaUKR,"DF,MF",Arsenal,28-145,1996,5.1,16,3.16,11,1,1,2,1,0,2,0.40,2,0,0,0,0,0,Matches
Oliver Scarles,453,engENG,DF,West Ham,19-148,2005,6.6,5,0.76,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Oliver Skipp,471,engENG,MF,Leicester City,24-235,2000,11.1,14,1.27,12,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Ollie Watkins,542,engENG,FW,Aston Villa,29-130,1995,25.9,51,1.97,34,0,4,7,6,0,11,0.42,7,0,1,1,2,0,Matches
Omar Marmoush,326,egEGY,"FW,MF",Manchester City,26-091,1999,11.1,33,2.98,18,3,1,4,7,0,1,0.09,0,0,0,0,1,0,Matches
Omari Hutchinson,244,engENG,"MF,FW",Ipswich Town,21-191,2003,25.7,68,2.65,49,0,8,5,4,2,6,0.23,6,0,0,0,0,0,Matches
Orel Mangala,323,beBEL,MF,Everton,27-052,1998,14.0,24,1.72,17,1,2,3,1,0,1,0.07,0,0,0,0,1,0,Matches
Oscar Bobb,60,noNOR,FW,Manchester City,21-301,2003,0.2,2,12.00,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pablo Sarabia,449,esESP,"MF,FW",Wolves,32-363,1992,8.0,25,3.14,17,6,2,0,0,0,4,0.50,3,0,1,0,0,0,Matches
