Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Armando Broja,70,alALB,FW,Everton,23-241,2001,3.7,0,4,0,0.0,1.08,0.00,0.00,N/a,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Armel Bella Kotchap,50,deGER,DF,Southampton,23-149,2001,3.7,0,1,0,0.0,0.27,0.00,0.00,N/a,9.1,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Matches
Asher Agbinone,7,engENG,MF,Crystal Palace,19-223,2005,0.1,0,1,0,0.0,15.00,0.00,0.00,N/a,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Ashley Young,564,engENG,"DF,FW",Everton,39-304,1985,18.0,1,6,3,50.0,0.33,0.17,0.17,0.33,24.5,3,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
Axel Disasi,137,frFRA,DF,Aston Villa,27-059,1998,5.4,0,2,0,0.0,0.37,0.00,0.00,N/a,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Axel Tuanzebe,520,cdCOD,DF,Ipswich Town,27-176,1997,16.1,0,4,0,0.0,0.25,0.00,0.00,N/a,15.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Ayden Heaven,230,engENG,DF,Manchester Utd,18-229,2006,1.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Bart Verbruggen,530,nlNED,GK,Brighton,22-264,2002,33.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Ben Brereton,68,clCHI,FW,Southampton,26-021,1999,5.0,0,11,1,9.1,2.20,0.20,0.00,0.00,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
Ben Chilwell,96,engENG,DF,Crystal Palace,28-139,1996,1.5,0,2,1,50.0,1.29,0.65,0.00,0.00,27.6,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Ben Davies,122,wlsWAL,DF,Tottenham,32-015,1993,12.5,0,5,1,20.0,0.40,0.08,0.00,0.00,17.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Ben Godfrey,199,engENG,DF,Ipswich Town,27-114,1998,1.8,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Ben Johnson,263,engENG,"DF,FW",Ipswich Town,25-105,2000,15.0,1,7,3,42.9,0.47,0.20,0.14,0.33,12.6,0,0,0,1.1,1.1,0.15,-0.1,-0.1,Matches
Ben Mee,342,engENG,DF,Brentford,35-230,1989,2.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Ben White,548,engENG,DF,Arsenal,27-213,1997,10.5,0,7,1,14.3,0.67,0.10,0.00,0.00,19.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Ben Winterburn,556,engENG,"FW,MF",Bournemouth,20-247,2004,0.3,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Benoît Badiashile,42,frFRA,DF,Chelsea,24-044,2001,3.7,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Bernardo Silva,466,ptPOR,"MF,FW",Manchester City,30-272,1994,26.7,3,28,10,35.7,1.05,0.37,0.11,0.30,12.9,0,0,0,3.2,3.2,0.12,-0.2,-0.2,Matches
Bernd Leno,299,deGER,GK,Fulham,33-066,1992,35.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Beto,57,gwGNB,FW,Everton,27-098,1998,14.1,7,40,20,50.0,2.84,1.42,0.18,0.35,13.2,0,0,0,6.6,6.6,0.16,+0.4,+0.4,Matches
Bilal El Khannouss,279,maMAR,MF,Leicester City,20-364,2004,22.3,2,28,6,21.4,1.26,0.27,0.07,0.33,22.3,0,0,0,1.1,1.1,0.04,+0.9,+0.9,Matches
Billy Gilmour,198,sctSCO,MF,Brighton,23-332,2001,1.1,0,1,0,0.0,0.92,0.00,0.00,N/a,25.5,1,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Bobby De Cordova-Reid,126,jmJAM,FW,Leicester City,32-096,1993,8.3,1,7,3,42.9,0.85,0.36,0.14,0.33,25.1,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
Boubacar Kamara,273,frFRA,MF,Aston Villa,25-167,1999,16.3,0,7,1,14.3,0.43,0.06,0.00,0.00,21.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Boubacar Traoré,514,mlMLI,MF,Wolves,23-262,2001,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Boubakary Soumaré,480,frFRA,MF,Leicester City,26-071,1999,21.8,0,7,0,0.0,0.32,0.00,0.00,N/a,23.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
