Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
João Gomes,202,brBRA,MF,Wolves,24-086,2001,30.9,3,33,7,21.2,1.07,0.23,0.09,0.43,18.1,0,0,0,2.7,2.7,0.08,+0.3,+0.3,Matches
João Pedro,261,brBRA,"FW,MF",Brighton,23-225,2001,21.6,10,42,15,35.7,1.94,0.69,0.12,0.33,17.2,0,5,5,8.9,5.0,0.12,+1.1,0.0,Matches
Joël Veltman,528,nlNED,DF,Brighton,33-114,1992,18.5,0,6,1,16.7,0.32,0.05,0.00,0.00,19.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
Joško Gvardiol,222,hrCRO,DF,Manchester City,23-106,2002,33.4,5,37,11,29.7,1.11,0.33,0.14,0.45,13.0,0,0,0,4.4,4.0,0.11,+0.6,+1.0,Matches
Julian Araujo,29,mxMEX,DF,Bournemouth,23-269,2001,4.7,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Julio Enciso,163,pyPAR,"FW,MF",Ipswich Town,21-106,2004,7.9,2,26,10,38.5,3.30,1.27,0.08,0.20,22.7,1,0,0,1.5,1.5,0.06,+0.5,+0.5,Matches
Julio Soler,477,arARG,FW,Bournemouth,20-082,2005,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jurriën Timber,506,nlNED,DF,Arsenal,23-326,2001,26.9,1,14,4,28.6,0.52,0.15,0.07,0.25,14.1,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Justin Devenny,129,nirNIR,MF,Crystal Palace,21-210,2003,4.8,1,8,4,50.0,1.68,0.84,0.13,0.25,21.2,1,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
Justin Kluivert,285,nlNED,"MF,FW",Bournemouth,26-004,1999,24.0,12,53,22,41.5,2.21,0.92,0.11,0.27,20.4,0,6,6,10.0,5.3,0.10,+2.0,+0.7,Matches
Jáder Durán,153,coCOL,FW,Aston Villa,21-147,2003,7.1,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,4.9,4.9,0.16,+2.1,+2.1,Matches
Jørgen Strand Larsen,489,noNOR,FW,Wolves,25-092,2000,27.4,13,53,32,60.4,1.94,1.17,0.25,0.41,11.4,0,0,0,10.0,10.0,0.19,+3.0,+3.0,Matches
Kaelan Casey,87,engENG,DF,West Ham,20-193,2004,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Kai Havertz,229,deGER,"FW,MF",Arsenal,25-332,1999,20.4,9,52,21,40.4,2.54,1.03,0.17,0.43,11.7,0,0,0,9.4,9.4,0.18,-0.4,-0.4,Matches
Kalvin Phillips,409,engENG,MF,Ipswich Town,29-158,1995,13.7,0,11,2,18.2,0.80,0.15,0.00,0.00,24.3,3,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Kamaldeen Sulemana,491,ghGHA,"FW,MF",Southampton,23-083,2002,13.1,1,26,8,30.8,1.99,0.61,0.04,0.13,18.8,0,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches
Kaoru Mitoma,352,jpJPN,"FW,MF",Brighton,27-354,1997,28.0,9,54,25,46.3,1.93,0.89,0.17,0.36,13.9,0,0,0,8.8,8.8,0.16,+0.2,+0.2,Matches
Kasey McAteer,337,ieIRL,"FW,MF",Leicester City,23-168,2001,6.8,0,9,4,44.4,1.32,0.59,0.00,0.00,16.5,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
Keane Lewis-Potter,302,engENG,"DF,FW",Brentford,24-076,2001,31.5,1,27,14,51.9,0.86,0.44,0.04,0.07,20.5,1,0,0,2.6,2.6,0.09,-1.6,-1.6,Matches
Kenny Tete,501,nlNED,DF,Fulham,29-212,1995,16.7,0,22,2,9.1,1.32,0.12,0.00,0.00,16.1,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
Kepa Arrizabalaga,35,esESP,GK,Bournemouth,30-218,1994,28.0,0,1,0,0.0,0.04,0.00,0.00,N/a,9.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Kevin Danso,121,atAUT,DF,Tottenham,26-232,1998,6.4,0,6,2,33.3,0.94,0.31,0.00,0.00,17.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Kevin De Bruyne,125,beBEL,"MF,FW",Manchester City,33-315,1991,17.1,4,49,14,28.6,2.87,0.82,0.08,0.29,21.7,6,0,0,3.8,3.8,0.08,+0.2,+0.2,Matches
Kevin Schade,455,deGER,FW,Brentford,23-163,2001,23.0,10,50,23,46.0,2.17,1.00,0.20,0.43,11.6,0,0,0,7.7,7.7,0.15,+2.3,+2.3,Matches
Kieran Tierney,505,sctSCO,"DF,FW",Arsenal,27-338,1997,2.0,0,1,0,0.0,0.50,0.00,0.00,N/a,2.6,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches
Kieran Trippier,517,engENG,DF,Newcastle Utd,34-232,1990,14.2,0,3,0,0.0,0.21,0.00,0.00,N/a,22.2,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Kiernan Dewsbury-Hall,130,engENG,"MF,FW",Chelsea,26-245,1998,2.9,0,1,0,0.0,0.35,0.00,0.00,N/a,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches
Kim Jisoo,260,krKOR,DF,Brentford,20-136,2004,0.3,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Kobbie Mainoo,320,engENG,MF,Manchester Utd,20-020,2005,16.7,0,13,2,15.4,0.78,0.12,0.00,0.00,20.8,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Konstantinos Mavropanos,333,grGRE,DF,West Ham,27-149,1997,21.6,0,18,5,27.8,0.83,0.23,0.00,0.00,14.8,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches
Kosta Nedeljković,372,rsSRB,DF,Aston Villa,19-144,2005,1.4,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Kostas Tsimikas,519,grGRE,DF,Liverpool,28-362,1996,8.3,0,4,2,50.0,0.48,0.24,0.00,0.00,16.1,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
Kristoffer Ajer,10,noNOR,DF,Brentford,27-022,1998,15.6,0,8,3,37.5,0.51,0.19,0.00,0.00,10.2,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
Kyle Walker,534,engENG,DF,Manchester City,34-346,1990,10.8,0,5,2,40.0,0.46,0.19,0.00,0.00,27.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Kyle Walker-Peters,535,engENG,DF,Southampton,28-026,1997,32.4,0,20,6,30.0,0.62,0.19,0.00,0.00,18.3,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
Lamare Bogarde,61,nlNED,"DF,MF",Aston Villa,21-124,2004,5.3,0,1,1,100.0,0.19,0.19,0.00,0.00,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Leandro Trossard,518,beBEL,FW,Arsenal,30-156,1994,26.2,8,68,21,30.9,2.60,0.80,0.12,0.38,15.9,0,0,0,6.8,6.8,0.10,+1.2,+1.2,Matches
Leif Davis,123,engENG,DF,Ipswich Town,25-117,2000,28.5,1,14,2,14.3,0.49,0.07,0.07,0.50,20.4,2,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches
Leny Yoro,563,frFRA,DF,Manchester Utd,19-177,2005,12.4,0,5,1,20.0,0.40,0.08,0.00,0.00,8.6,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Matches
Leon Bailey,43,jmJAM,"FW,MF",Aston Villa,27-273,1997,12.6,1,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
Lesley Ugochukwu,523,frFRA,MF,Southampton,21-044,2004,16.9,1,10,1,10.0,0.59,0.06,0.10,1.00,17.0,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
Levi Colwill,107,engENG,DF,Chelsea,22-072,2003,32.0,1,16,3,18.8,0.50,0.09,0.06,0.33,9.9,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
Lewis Cook,108,engENG,"MF,DF",Bournemouth,28-095,1997,31.3,1,14,4,28.6,0.45,0.13,0.07,0.25,23.4,1,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
Lewis Dunk,152,engENG,DF,Brighton,33-169,1991,23.1,0,12,3,25.0,0.52,0.13,0.00,0.00,12.1,1,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
Lewis Hall,224,engENG,DF,Newcastle Utd,20-243,2004,24.3,0,11,1,9.1,0.45,0.04,0.00,0.00,18.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Lewis Miley,347,engENG,MF,Newcastle Utd,19-008,2006,2.8,1,3,2,66.7,1.08,0.72,0.33,0.50,14.6,0,0,0,0.5,0.5,0.18,+0.5,+0.5,Matches
Lewis Orford,396,engENG,MF,West Ham,19-080,2006,0.5,0,1,0,0.0,1.84,0.00,0.00,N/a,12.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Liam Delap,127,engENG,FW,Ipswich Town,22-090,2003,27.7,12,64,28,43.8,2.31,1.01,0.16,0.36,16.0,0,2,2,9.3,7.7,0.12,+2.7,+2.3,Matches
Lisandro Martínez,329,arARG,DF,Manchester Utd,27-111,1998,19.5,2,17,6,35.3,0.87,0.31,0.12,0.33,15.9,0,0,0,1.3,1.3,0.08,+0.7,+0.7,Matches
Lloyd Kelly,277,engENG,DF,Newcastle Utd,26-215,1998,3.4,0,3,0,0.0,0.89,0.00,0.00,N/a,7.3,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
Lucas Bergvall,55,seSWE,MF,Tottenham,19-096,2006,13.5,0,12,2,16.7,0.89,0.15,0.00,0.00,19.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
Lucas Digne,135,frFRA,DF,Aston Villa,31-293,1993,25.1,0,13,3,23.1,0.52,0.12,0.00,0.00,22.7,5,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Lucas Paquetá,404,brBRA,"MF,FW",West Ham,27-255,1997,26.0,4,38,3,7.9,1.46,0.12,0.05,0.67,19.6,4,2,2,5.2,3.6,0.09,-1.2,-1.6,Matches
Luis Díaz,133,coCOL,FW,Liverpool,28-116,1997,24.7,12,65,27,41.5,2.63,1.09,0.18,0.44,13.5,0,0,0,10.0,10.0,0.15,+2.0,+2.0,Matches
Luis Guilherme,217,brBRA,"MF,FW",West Ham,19-089,2006,1.5,0,3,1,33.3,1.96,0.65,0.00,0.00,14.9,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
Luis Sinisterra,470,coCOL,"FW,MF",Bournemouth,25-326,1999,2.6,1,13,6,46.2,4.96,2.29,0.08,0.17,14.8,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Luke Shaw,464,engENG,DF,Manchester Utd,29-301,1995,2.4,0,1,0,0.0,0.41,0.00,0.00,N/a,23.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Luke Thomas,503,engENG,DF,Leicester City,23-333,2001,9.7,0,5,0,0.0,0.52,0.00,0.00,N/a,16.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Luke Woolfenden,560,engENG,DF,Ipswich Town,26-200,1998,13.2,0,1,0,0.0,0.08,0.00,0.00,N/a,12.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Mads Hermansen,235,dkDEN,GK,Leicester City,24-302,2000,26.5,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Mads Roerslev,438,dkDEN,DF,Brentford,25-319,1999,12.2,0,5,2,40.0,0.41,0.16,0.00,0.00,20.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Malo Gusto,221,frFRA,DF,Chelsea,21-355,2003,20.4,0,22,4,18.2,1.08,0.20,0.00,0.00,21.3,0,0,0,1.7,1.7,0.08,-1.7,-1.7,Matches
Manuel Akanji,11,chSUI,DF,Manchester City,29-294,1995,19.4,0,10,1,10.0,0.52,0.05,0.00,0.00,16.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Manuel Ugarte Ribeiro,522,uyURU,MF,Manchester Utd,24-028,2001,19.0,1,19,4,21.1,1.00,0.21,0.05,0.25,21.7,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches
Marc Cucurella,113,esESP,DF,Chelsea,26-291,1998,30.2,4,22,9,40.9,0.73,0.30,0.18,0.44,16.5,0,0,0,2.6,2.6,0.12,+1.4,+1.4,Matches
Marc Guiu,219,esESP,FW,Chelsea,19-125,2006,0.8,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Marc Guéhi,216,engENG,DF,Crystal Palace,24-300,2000,33.0,3,15,7,46.7,0.45,0.21,0.20,0.43,10.7,0,0,0,2.0,2.0,0.13,+1.0,+1.0,Matches
Marco Asensio,36,esESP,"MF,FW",Aston Villa,29-108,1996,6.0,3,17,8,47.1,2.83,1.33,0.18,0.38,18.9,1,0,2,4.2,2.6,0.15,-1.2,+0.4,Matches
Marcos Senesi,462,arARG,DF,Bournemouth,27-364,1997,11.3,0,2,0,0.0,0.18,0.00,0.00,N/a,6.0,0,0,0,0.8,0.8,0.40,-0.8,-0.8,Matches
Marcus Harness,226,engENG,MF,Ipswich Town,29-074,1996,0.5,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Marcus Rashford,422,engENG,"FW,MF",Manchester Utd,27-190,1997,10.9,4,16,9,56.3,1.47,0.83,0.25,0.44,16.4,0,0,0,1.7,1.7,0.11,+2.3,+2.3,Matches
Marcus Tavernier,497,engENG,"FW,MF",Bournemouth,26-048,1999,18.6,3,50,15,30.0,2.69,0.81,0.06,0.20,20.2,4,0,0,5.3,5.3,0.11,-2.3,-2.3,Matches
Mario Lemina,298,gaGAB,"MF,DF",Wolves,31-250,1993,15.2,1,18,5,27.8,1.19,0.33,0.06,0.20,21.9,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
Mark Flekken,182,nlNED,GK,Brentford,31-330,1993,33.4,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Mark Travers,515,ieIRL,GK,Bournemouth,25-356,1999,5.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Marshall Munetsi,363,zwZIM,"MF,FW",Wolves,28-321,1996,9.8,1,15,5,33.3,1.54,0.51,0.07,0.20,14.8,0,0,0,3.0,3.0,0.20,-2.0,-2.0,Matches
Martial Godo,200,engENG,FW,Fulham,22-056,2003,0.2,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Martin Dúbravka,151,skSVK,GK,Newcastle Utd,36-114,1989,10.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Martin Ødegaard,568,noNOR,MF,Arsenal,26-143,1998,23.7,2,43,13,30.2,1.82,0.55,0.02,0.08,18.7,3,1,1,4.6,3.8,0.09,-2.6,-2.8,Matches
Mason Holgate,240,engENG,"FW,DF",Everton,28-199,1996,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Mason Mount,360,engENG,"MF,FW",Manchester Utd,26-119,1999,4.8,1,13,5,38.5,2.72,1.05,0.08,0.20,15.7,0,0,0,2.3,2.3,0.18,-1.3,-1.3,Matches
Massimo Luongo,312,auAUS,MF,Ipswich Town,32-226,1992,2.2,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Mateo Kovačić,288,hrCRO,MF,Manchester City,31-003,1994,22.8,6,41,12,29.3,1.80,0.53,0.15,0.50,22.5,0,0,0,1.7,1.7,0.04,+4.3,+4.3,Matches
Mateus Fernandes,180,ptPOR,MF,Southampton,20-303,2004,29.3,2,39,14,35.9,1.33,0.48,0.05,0.14,18.5,3,0,0,3.8,3.8,0.10,-1.8,-1.8,Matches
Matheus Cunha,115,brBRA,"MF,FW",Wolves,25-347,1999,26.9,15,97,40,41.2,3.60,1.48,0.15,0.38,20.6,12,0,0,7.9,7.9,0.08,+7.1,+7.1,Matches
Matheus França,187,brBRA,"FW,MF",Crystal Palace,21-038,2004,0.3,1,3,2,66.7,10.38,6.92,0.33,0.50,12.8,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
Matheus Nunes,380,ptPOR,"DF,MF",Manchester City,26-255,1998,16.6,1,7,3,42.9,0.42,0.18,0.14,0.33,18.3,0,0,0,0.9,0.9,0.13,+0.1,+0.1,Matches
Mathias Jensen,257,dkDEN,MF,Brentford,29-128,1996,9.1,0,6,1,16.7,0.66,0.11,0.00,0.00,23.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Mathis Amougou,22,frFRA,MF,Chelsea,19-111,2006,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Mathys Tel,500,frFRA,FW,Tottenham,20-012,2005,7.2,2,20,7,35.0,2.77,0.97,0.05,0.14,16.2,1,1,1,2.3,1.5,0.07,-0.3,-0.5,Matches
Mats Wieffer,549,nlNED,"MF,DF",Brighton,25-174,1999,8.3,1,8,4,50.0,0.97,0.48,0.13,0.25,12.9,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
Matt Doherty,141,ieIRL,DF,Wolves,33-113,1992,21.8,2,10,3,30.0,0.46,0.14,0.20,0.67,11.4,0,0,0,1.0,1.0,0.10,+1.0,+1.0,Matches
Matt O'Riley,385,dkDEN,MF,Brighton,24-169,2000,9.4,1,20,6,30.0,2.13,0.64,0.05,0.17,16.8,2,0,0,2.0,2.0,0.10,-1.0,-1.0,Matches
Matt Targett,495,engENG,DF,Newcastle Utd,29-233,1995,0.2,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Matthijs de Ligt,304,nlNED,DF,Manchester Utd,25-270,1999,23.6,2,18,9,50.0,0.76,0.38,0.11,0.22,7.9,0,0,0,2.5,2.5,0.14,-0.5,-0.5,Matches
Matty Cash,88,plPOL,DF,Aston Villa,27-275,1997,20.0,1,10,4,40.0,0.50,0.20,0.10,0.25,19.0,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
Matz Sels,459,beBEL,GK,Nott'ham Forest,33-072,1992,35.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Max Aarons,1,engENG,DF,Bournemouth,25-125,2000,1.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Max Kilman,281,engENG,DF,West Ham,27-351,1997,34.2,0,12,2,16.7,0.35,0.06,0.00,0.00,8.8,0,0,0,1.4,1.4,0.12,-1.4,-1.4,Matches
Maxence Lacroix,293,frFRA,DF,Crystal Palace,25-033,2000,31.6,1,29,5,17.2,0.92,0.16,0.03,0.20,11.1,0,0,0,3.1,3.1,0.11,-2.1,-2.1,Matches
Maxwel Cornet,109,ciCIV,FW,Southampton,28-224,1996,0.8,0,1,0,0.0,1.25,0.00,0.00,N/a,18.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
Michael Golding,201,engENG,MF,Leicester City,18-351,2006,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Michael Kayode,274,itITA,DF,Brentford,20-303,2004,3.2,0,1,0,0.0,0.31,0.00,0.00,N/a,18.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Michael Keane,275,engENG,DF,Everton,32-118,1993,9.5,2,8,3,37.5,0.85,0.32,0.25,0.67,14.8,0,0,0,0.4,0.4,0.05,+1.6,+1.6,Matches
Michail Antonio,27,jmJAM,FW,West Ham,35-042,1990,9.3,1,19,4,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2,Matches
Micky van de Ven,529,nlNED,DF,Tottenham,24-020,2001,10.6,0,6,2,33.3,0.57,0.19,0.00,0.00,11.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Miguel Almirón,17,pyPAR,FW,Newcastle Utd,31-088,1994,1.7,0,6,2,33.3,3.44,1.15,0.00,0.00,14.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Mikel Merino,344,esESP,"MF,FW",Arsenal,28-321,1996,15.8,6,32,12,37.5,2.03,0.76,0.19,0.50,10.5,0,0,0,4.4,4.4,0.14,+1.6,+1.6,Matches
Mikey Moore,355,engENG,FW,Tottenham,17-271,2007,2.3,0,3,0,0.0,1.30,0.00,0.00,N/a,19.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Mikkel Damsgaard,118,dkDEN,"MF,FW",Brentford,24-310,2000,29.5,2,32,7,21.9,1.08,0.24,0.06,0.29,17.5,3,0,0,2.6,2.6,0.08,-0.6,-0.6,Matches
Milos Kerkez,278,huHUN,DF,Bournemouth,21-183,2003,34.2,2,17,5,29.4,0.50,0.15,0.12,0.40,20.4,0,0,0,0.5,0.5,0.03,+1.5,+1.5,Matches
Mohamed Salah,444,egEGY,FW,Liverpool,32-328,1992,34.5,28,112,47,42.0,3.25,1.36,0.17,0.40,14.7,1,9,9,24.0,17.0,0.15,+4.0,+2.0,Matches
Mohammed Kudus,291,ghGHA,"FW,MF",West Ham,24-280,2000,26.9,4,68,20,29.4,2.53,0.74,0.06,0.20,15.7,0,0,0,6.6,6.6,0.10,-2.6,-2.6,Matches
Moisés Caicedo,79,ecECU,"MF,DF",Chelsea,23-188,2001,34.2,1,18,3,16.7,0.53,0.09,0.06,0.33,25.1,0,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches
Morato,356,brBRA,DF,Nott'ham Forest,23-313,2001,9.0,0,2,1,50.0,0.22,0.11,0.00,0.00,8.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Morgan Gibbs-White,197,engENG,MF,Nott'ham Forest,25-102,2000,28.2,5,53,18,34.0,1.88,0.64,0.09,0.28,17.0,3,0,0,4.7,4.7,0.09,+0.3,+0.3,Matches
Morgan Rogers,439,engENG,"FW,MF",Aston Villa,22-287,2002,31.7,8,53,19,35.8,1.67,0.60,0.15,0.42,15.9,0,0,0,6.2,6.2,0.12,+1.8,+1.8,Matches
Murillo,367,brBRA,DF,Nott'ham Forest,22-309,2002,33.4,2,24,6,25.0,0.72,0.18,0.08,0.33,22.2,3,0,0,1.4,1.4,0.06,+0.6,+0.6,Matches
Mykhailo Mudryk,362,uaUKR,FW,Chelsea,24-124,2001,1.7,0,1,1,100.0,0.60,0.60,0.00,0.00,11.6,0,0,0,0.3,0.3,0.25,-0.3,-0.3,Matches
Myles Lewis-Skelly,303,engENG,DF,Arsenal,18-225,2006,13.0,1,2,1,50.0,0.15,0.08,0.50,1.00,14.3,0,0,0,0.1,0.1,0.06,+0.9,+0.9,Matches
Nasser Djiga,140,bfBFA,"DF,FW",Wolves,22-175,2002,0.2,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Nathan Aké,12,nlNED,DF,Manchester City,30-080,1995,7.5,0,3,0,0.0,0.40,0.00,0.00,N/a,10.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Nathan Broadhead,69,wlsWAL,"MF,FW",Ipswich Town,27-034,1998,6.7,1,10,6,60.0,1.49,0.89,0.10,0.17,15.4,0,0,0,1.5,1.5,0.15,-0.5,-0.5,Matches
Nathan Butler-Oyedeji,78,engENG,FW,Arsenal,22-125,2003,0.1,0,1,1,100.0,12.86,12.86,0.00,0.00,15.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Nathan Collins,105,ieIRL,DF,Brentford,24-009,2001,35.0,2,17,6,35.3,0.49,0.17,0.12,0.33,10.7,0,0,0,2.5,2.5,0.15,-0.5,-0.5,Matches
Nathan Patterson,406,sctSCO,DF,Everton,23-205,2001,3.9,0,1,0,0.0,0.26,0.00,0.00,N/a,16.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Nathan Wood-Gordon,559,engENG,DF,Southampton,22-343,2002,6.9,0,2,0,0.0,0.29,0.00,0.00,N/a,5.9,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Nathaniel Clyne,102,engENG,"DF,MF",Crystal Palace,34-034,1991,5.4,0,2,0,0.0,0.37,0.00,0.00,N/a,31.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Neco Williams,550,wlsWAL,DF,Nott'ham Forest,24-026,2001,25.8,1,37,7,18.9,1.43,0.27,0.03,0.14,20.2,1,0,0,2.3,2.3,0.06,-1.3,-1.3,Matches
Neto,375,brBRA,GK,Bournemouth,35-294,1989,2.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Nick Pope,416,engENG,GK,Newcastle Utd,33-020,1992,25.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Niclas Füllkrug,190,deGER,FW,West Ham,32-089,1993,7.4,3,14,5,35.7,1.89,0.67,0.21,0.60,10.2,0,0,0,2.0,2.0,0.14,+1.0,+1.0,Matches
Nico O’Reilly,400,engENG,DF,Manchester City,20-049,2005,5.7,2,8,3,37.5,1.40,0.53,0.25,0.67,15.4,0,0,0,1.3,1.3,0.16,+0.7,+0.7,Matches
Nicolas Jackson,252,snSEN,FW,Chelsea,23-323,2001,24.3,10,76,34,44.7,3.13,1.40,0.13,0.29,12.9,0,0,0,12.3,12.3,0.16,-2.3,-2.3,Matches
Nicolás Domínguez,143,arARG,"MF,FW",Nott'ham Forest,26-315,1998,19.3,0,18,7,38.9,0.93,0.36,0.00,0.00,19.0,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
Nicolás González,207,esESP,MF,Manchester City,23-126,2002,7.2,0,7,0,0.0,0.97,0.00,0.00,N/a,19.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Nikola Milenković,346,rsSRB,DF,Nott'ham Forest,27-209,1997,34.0,4,26,7,26.9,0.76,0.21,0.15,0.57,12.1,0,0,0,3.6,3.6,0.14,+0.4,+0.4,Matches
Noni Madueke,316,engENG,FW,Chelsea,23-060,2002,20.1,7,77,30,39.0,3.82,1.49,0.09,0.23,14.4,0,0,0,9.1,9.1,0.12,-2.1,-2.1,Matches
Noussair Mazraoui,334,maMAR,DF,Manchester Utd,27-176,1997,29.3,0,13,3,23.1,0.44,0.10,0.00,0.00,20.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Nélson Semedo,460,ptPOR,DF,Wolves,31-174,1993,29.6,0,16,6,37.5,0.54,0.20,0.00,0.00,23.4,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
